Pos-1,Pos-2,Pos-3,Pos-4,Pos-5,Pos-6,Pos-7,Pos-8,Pos-9,Pos-10,Pos-11,Pos-12,Pos-13,Pos-14,Pos-15,Pos-16,Pos-17
because,of,course,it,would,be,easy,enough,now,.,.,.,.,.,.,.,.
to,reach,the,little,key,off,the,glass,table,.,.,.,.,.,.,.,.
and,to,open,the,little,tiny,door,.,.,.,.,.,.,.,.,.,.
well,of,course,she,could,do,that,.,.,.,.,.,.,.,.,.,.
but,what,good,was,it,to,get,the,door,open,.,.,.,.,.,.,.
when,she,could,-nt,get,through,.,.,.,.,.,.,.,.,.,.,.
she,was,worse,off,than,ever,poor,thing,.,.,.,.,.,.,.,.,.
she,could,just,manage,by,putting,her,head,down,close,to,the,ground,.,.,.,.
to,look,through,with,one,eye,.,.,.,.,.,.,.,.,.,.,.
but,that,was,all,she,could,do,.,.,.,.,.,.,.,.,.,.
no,wonder,the,poor,tall,child,sat,down,and,cried,.,.,.,.,.,.,.
as,if,her,heart,would,break,.,.,.,.,.,.,.,.,.,.,.
so,she,cried,and,she,cried,.,.,.,.,.,.,.,.,.,.,.
and,her,tear,-s,ran,down,the,middle,of,the,hall,like,a,deep,river,.,.
and,there,she,might,have,stayed,till,this,very,day,.,.,.,.,.,.,.
if,the,white,rabbit,had,-nt,happen,-ed,to,come,through,the,hall,.,.,.,.
he,was,on,his,way,to,visit,the,duchess,.,.,.,.,.,.,.,.
he,was,dressed,up,as,grand,as,grand,could,be,.,.,.,.,.,.,.
and,he,had,a,pair,of,white,kid,glove,-s,in,one,hand,.,.,.,.
he,had,a,little,fan,in,the,other,hand,.,.,.,.,.,.,.,.
and,he,kept,on,muttering,to,himself,.,.,.,.,.,.,.,.,.,.
oh,the,duchess,the,duchess,.,.,.,.,.,.,.,.,.,.,.,.
oh,wont,she,be,savage,if,ive,kept,her,wait,-ing,.,.,.,.,.,.
but,he,did,-nt,see,alice,you,know,.,.,.,.,.,.,.,.,.
so,when,she,began,to,say,if,you,please,sir,.,.,.,.,.,.,.
her,voice,seemed,to,come,from,the,top,of,the,hall,.,.,.,.,.,.
because,her,head,was,so,high,up,.,.,.,.,.,.,.,.,.,.
and,the,rabbit,was,dreadfully,frighten,-ed,.,.,.,.,.,.,.,.,.,.
and,he,drop,-ped,the,glove,-s,and,the,fan,.,.,.,.,.,.,.
and,he,ran,a-,way,as,hard,as,he,could,go,.,.,.,.,.,.
then,a,very,curious,thing,indeed,happen,-ed,.,.,.,.,.,.,.,.,.
alice,took,up,the,fan,.,.,.,.,.,.,.,.,.,.,.,.
and,began,to,fan,herself,with,it,.,.,.,.,.,.,.,.,.,.
and,lo,and,be-,hold,she,got,quite,small,again,.,.,.,.,.,.,.
and,all,in,a,minute,she,was,just,about,the,size,of,a,mouse,.,.,.
now,look,at,the,picture,.,.,.,.,.,.,.,.,.,.,.,.
and,you,will,soon,guess,what,happen,-ed,next,.,.,.,.,.,.,.,.
it,look,-s,just,like,the,sea,does,-nt,it,.,.,.,.,.,.,.
but,it,real,-ly,is,the,pool,of,tear,-s,.,.,.,.,.,.,.
all,mad,-e,of,alice,-s,tear,-s,you,know,.,.,.,.,.,.,.
and,alice,has,tumbled,into,the,pool,.,.,.,.,.,.,.,.,.,.
and,the,mouse,has,tumbled,in,.,.,.,.,.,.,.,.,.,.,.
and,there,they,are,swimming,about,together,.,.,.,.,.,.,.,.,.,.
does,-nt,alice,look,pretty,as,she,swim,-s,a-,cross,the,picture,.,.,.,.
you,can,just,see,her,blue,stockings,far,a-,way,under,the,water,.,.,.,.
but,why,is,the,mouse,swimming,a-,way,from,alice,in,such,a,hurry,.,.,.
well,the,reason,is,that,alice,began,talk,-ing,about,cat,-s,and,dog,-s,.,.
and,a,mouse,always,hate,-s,talk,-ing,about,cat,-s,and,dog,-s,.,.,.
suppose,you,were,swimming,about,in,a,pool,of,you,-r,own,tear,-s,.,.,.
would,-nt,you,swim,a-,way,as,hard,as,you,could,go,.,.,.,.,.
when,alice,and,the,mouse,had,got,out,of,the,pool,of,tear,-s,.,.,.
of,course,they,were,very,wet,.,.,.,.,.,.,.,.,.,.,.
and,so,were,a,lot,of,other,curious,creature,-s,.,.,.,.,.,.,.
that,had,tumbled,in,as,well,.,.,.,.,.,.,.,.,.,.,.
that,-s,the,great,bird,in,front,lean,-ing,on,a,walk,-ing,stick,.,.,.
and,a,duck,and,a,lory,.,.,.,.,.,.,.,.,.,.,.
that,-s,just,be-,hind,the,duck,look,-ing,over,its,head,.,.,.,.,.
and,an,eaglet,and,several,other,-s,.,.,.,.,.,.,.,.,.,.
that,-s,on,the,left,hand,side,of,the,lory,.,.,.,.,.,.,.
well,and,so,they,did,-nt,know,how,in,the,world,they,were,to,get,dry,again
but,the,dodo,told,them,the,right,way,was,to,have,a,caucus,race,.,.,.
the,dodo,was,a,very,wise,bird,.,.,.,.,.,.,.,.,.,.
and,what,do,you,think,that,was,.,.,.,.,.,.,.,.,.,.
well,you,are,an,ignorant,child,.,.,.,.,.,.,.,.,.,.,.
and,ill,soon,cure,you,of,you,-r,ignorance,.,.,.,.,.,.,.,.
first,you,must,have,a,race,course,.,.,.,.,.,.,.,.,.,.
it,ought,to,be,a,sort,of,circle,.,.,.,.,.,.,.,.,.
but,it,does,-nt,much,matter,what,shape,it,is,.,.,.,.,.,.,.
so,long,as,it,goes,a,good,way,round,.,.,.,.,.,.,.,.
and,it,joins,on,to,itself,again,.,.,.,.,.,.,.,.,.,.
then,you,must,put,all,the,racers,on,the,course,her,-e,and,there,.,.,.
it,does,-nt,matter,where,so,long,as,you,dont,crowd,them,too,much,together,.,.
then,you,neednt,say,one,two,three,and,a-,way,.,.,.,.,.,.,.
but,let,them,all,set,off,running,just,when,they,like,.,.,.,.,.,.
and,leave,off,just,when,they,like,.,.,.,.,.,.,.,.,.,.
so,all,these,creature,-s,alice,and,all,went,on,running,round,and,round,.,.,.
till,they,were,all,quite,dry,again,.,.,.,.,.,.,.,.,.,.
and,then,the,dodo,said,every,body,had,won,.,.,.,.,.,.,.,.
and,every,body,must,have,prize,-s,.,.,.,.,.,.,.,.,.,.
of,course,alice,had,to,give,them,their,prize,-s,.,.,.,.,.,.,.
and,she,had,no-,thing,to,give,them,.,.,.,.,.,.,.,.,.
but,a,few,comfits,she,happen,-ed,to,have,in,her,pocket,.,.,.,.,.
and,there,was,just,one,a,piece,all,round,.,.,.,.,.,.,.,.
and,there,was,no,prize,for,alice,.,.,.,.,.,.,.,.,.,.
so,what,do,you,think,they,did,.,.,.,.,.,.,.,.,.,.
alice,had,no-,thing,left,but,her,thimble,.,.,.,.,.,.,.,.,.
now,look,at,the,picture,.,.,.,.,.,.,.,.,.,.,.,.
and,you,will,see,what,happen,-ed,.,.,.,.,.,.,.,.,.,.
hand,it,over,her,-e,said,the,dodo,.,.,.,.,.,.,.,.,.
then,the,dodo,took,the,thimble,and,hand,-ed,it,back,to,alice,.,.,.,.
and,it,said,we,beg,you,-r,acceptance,of,this,elegant,thimble,.,.,.,.,.
and,then,all,the,other,creature,-s,cheered,.,.,.,.,.,.,.,.,.
was,-nt,that,a,curious,sort,of,present,to,give,her,.,.,.,.,.,.
suppose,they,want,-ed,to,give,you,a,birthday,present,.,.,.,.,.,.,.
would,you,rat,her,they,should,go,to,you,toy,cupboard,.,.,.,.,.,.
and,they,pick,out,you,-r,nice,-st,doll,.,.,.,.,.,.,.,.
and,they,say,her,-e,my,love,.,.,.,.,.,.,.,.,.,.
her,-e,is,a,love,-ly,birthday,present,for,you,.,.,.,.,.,.,.
or,would,you,like,them,to,give,you,some,thing,new,.,.,.,.,.,.
some,thing,that,did,-nt,be-,long,to,you,before,.,.,.,.,.,.,.
now,im,going,to,tell,you,about,alice,-s,adventure,-s,in,the,white,rabbit,-s,house
do,you,remember,how,the,rabbit,drop,-ped,his,glove,-s,and,his,fan,.,.,.
when,he,was,so,frighten,-ed,at,hear,-ing,alice,-s,voice,.,.,.,.,.
that,seemed,to,come,down,from,the,sky,.,.,.,.,.,.,.,.,.
so,after,a,bit,he,came,back,again,to,look,for,them,.,.,.,.,.
by,this,time,the,dodo,and,all,the,other,curious,creature,-s,had,gone,a-,way,.
and,alice,was,wandering,about,all,alone,.,.,.,.,.,.,.,.,.,.
so,what,do,you,think,he,did,.,.,.,.,.,.,.,.,.,.
actually,he,thought,she,was,his,housemaid,.,.,.,.,.,.,.,.,.,.
and,he,began,order,-ing,her,about,.,.,.,.,.,.,.,.,.,.
go,home,this,very,minute,and,fetch,me,a,pair,of,glove,-s,and,a,fan,.
perhaps,he,could,-nt,see,very,clearly,with,his,pink,eye,-s,.,.,.,.,.
for,im,sure,alice,does,-nt,look,very,like,a,housemaid,.,.,.,.,.,.
how,ever,she,was,a,very,good,natured,little,girl,.,.,.,.,.,.,.
so,she,was,-nt,a,bit,off,ended,.,.,.,.,.,.,.,.,.
but,she,ran,off,to,the,rabbit,-s,house,as,quick,as,she,could,.,.,.
it,was,lucky,she,found,the,door,open,.,.,.,.,.,.,.,.,.
for,if,she,had,had,to,ring,.,.,.,.,.,.,.,.,.,.
i,suppose,the,real,mary,ann,would,have,come,to,open,the,door,.,.,.,.
and,she,would,never,have,let,alice,come,in,.,.,.,.,.,.,.,.
and,im,sure,it,was,very,lucky,.,.,.,.,.,.,.,.,.,.
she,did,-nt,meet,the,real,mary,ann,as,she,trotted,upstairs,.,.,.,.,.
for,im,afraid,she,would,have,take,-n,alice,for,a,robber,.,.,.,.,.
so,at,last,she,found,her,way,into,the,rabbit,-s,room,.,.,.,.,.
and,there,was,a,pair,of,glove,-s,lying,on,the,table,.,.,.,.,.
and,she,was,just,going,to,take,them,up,and,go,a-,way,.,.,.,.
when,she,happen,-ed,to,see,a,little,bottle,on,the,table,.,.,.,.,.
and,of,course,it,had,the,word,-s,drink,me,on,the,label,.,.,.,.
and,of,course,alice,drank,some,.,.,.,.,.,.,.,.,.,.,.
well,i,think,that,was,rat,her,lucky,too,dont,you,.,.,.,.,.,.
for,if,she,had,-nt,drunk,any,.,.,.,.,.,.,.,.,.,.
all,this,wonder,-ful,adventure,that,im,about,to,tell,you,about,.,.,.,.,.
it,would,-nt,have,happen,-ed,at,all,.,.,.,.,.,.,.,.,.
and,would,-nt,that,have,been,a,pity,.,.,.,.,.,.,.,.,.
your,-e,getting,so,use,-d,to,alice,-s,adventure,-s,.,.,.,.,.,.
that,i,daresay,you,can,guess,what,happen,-ed,next,.,.,.,.,.,.,.
if,you,cant,ill,tell,you,.,.,.,.,.,.,.,.,.,.,.
she,grew,and,she,grew,and,she,grew,.,.,.,.,.,.,.,.,.
and,in,a,very,short,time,the,room,was,full,of,alice,.,.,.,.,.
just,in,the,same,way,as,a,jar,is,full,of,jam,.,.,.,.,.
there,was,alice,all,the,way,up,to,the,ceiling,.,.,.,.,.,.,.
and,alice,in,every,corner,of,the,room,.,.,.,.,.,.,.,.,.
the,door,open,-ed,inwards,.,.,.,.,.,.,.,.,.,.,.,.
so,of,course,there,was,-nt,any,room,to,open,it,.,.,.,.,.,.
so,the,rabbit,got,tired,of,wait,-ing,.,.,.,.,.,.,.,.,.
and,it,came,to,fetch,his,glove,-s,for,himself,.,.,.,.,.,.,.
of,course,he,could,-nt,get,in,.,.,.,.,.,.,.,.,.,.
so,what,do,you,think,he,did,.,.,.,.,.,.,.,.,.,.
now,we,come,to,the,picture,.,.,.,.,.,.,.,.,.,.,.
he,sent,bill,the,lizard,up,to,the,roof,of,the,house,.,.,.,.,.
and,he,told,him,to,get,down,the,chimney,.,.,.,.,.,.,.,.
but,alice,happen,-ed,to,have,one,of,her,feet,in,the,fireplace,.,.,.,.
so,when,she,hear,-d,bill,coming,down,the,chimney,she,just,gave,a,little,tiny,kick
and,a-,way,went,bill,flying,up,into,the,sky,.,.,.,.,.,.,.
dont,you,pity,him,very,much,.,.,.,.,.,.,.,.,.,.,.
how,frighten,-ed,he,must,have,been,.,.,.,.,.,.,.,.,.,.
well,it,does,-nt,look,such,a,very,little,puppy,does,it,.,.,.,.,.
but,then,you,see,alice,had,grow,-n,very,small,indeed,.,.,.,.,.,.
and,that,-s,what,make,-s,the,puppy,look,so,large,.,.,.,.,.,.
when,alice,had,eat,-en,one,of,those,little,magic,cake,-s,.,.,.,.,.
that,she,found,in,the,white,rabbit,-s,house,.,.,.,.,.,.,.,.
it,mad,-e,her,get,quite,small,directly,.,.,.,.,.,.,.,.,.
so,she,could,get,through,the,door,.,.,.,.,.,.,.,.,.,.
or,else,she,could,never,have,got,out,of,the,house,again,.,.,.,.,.
would,-nt,that,have,been,a,pity,.,.,.,.,.,.,.,.,.,.
because,then,she,would,-nt,have,dream,-ed,all,the,other,curious,thing,-s,.,.,.
that,were,going,to,read,about,.,.,.,.,.,.,.,.,.,.,.
so,it,real,-ly,was,a,little,puppy,you,see,.,.,.,.,.,.,.
and,isnt,it,a,little,pet,.,.,.,.,.,.,.,.,.,.,.
and,look,at,the,way,its,barking,at,the,little,stick,.,.,.,.,.,.
that,alice,is,hold,-ing,out,for,it,.,.,.,.,.,.,.,.,.
you,can,see,she,was,a,little,afraid,of,it,all,the,time,.,.,.,.
because,she,-s,got,be-,hind,that,great,thistle,for,fear,it,should,run,over,her,.
that,would,have,been,just,about,as,bad,for,her,as,it,would,be,for,you,.
to,be,run,over,by,a,waggon,and,four,horses,.,.,.,.,.,.,.
have,you,got,a,little,pet,puppy,at,you,-r,home,.,.,.,.,.,.
if,you,have,i,hope,your,-e,always,kind,to,it,.,.,.,.,.,.
and,give,it,nice,thing,-s,to,eat,.,.,.,.,.,.,.,.,.
once,upon,a,time,i,knew,some,little,children,about,as,big,as,you,.,.,.
and,they,had,a,little,pet,dog,of,their,own,.,.,.,.,.,.,.
and,it,was,call,-ed,dash,.,.,.,.,.,.,.,.,.,.,.
and,this,is,what,they,told,me,about,its,birthday,treat,.,.,.,.,.,.
do,you,know,one,day,we,remember,-ed,it,was,dash,-s,birthday,that,day,.,.
so,we,said,let,-s,give,dash,a,nice,birthday,treat,.,.,.,.,.,.
like,what,we,have,on,our,birthday,-s,.,.,.,.,.,.,.,.,.
so,we,thought,and,we,thought,.,.,.,.,.,.,.,.,.,.,.
now,what,is,it,we,like,best,of,all,on,our,birthday,-s,.,.,.,.
and,we,thought,and,we,thought,.,.,.,.,.,.,.,.,.,.,.
and,at,last,we,all,call,-ed,out,together,.,.,.,.,.,.,.,.
why,its,oatmeal,porridge,of,course,.,.,.,.,.,.,.,.,.,.,.
so,of,course,we,thought,dash,would,be,quite,sure,to,like,it,very,much,too,.
so,we,went,to,the,cook,.,.,.,.,.,.,.,.,.,.,.
and,we,got,her,to,make,a,saucer,-ful,of,nice,oatmeal,porridge,.,.,.,.
and,then,we,call,-ed,dash,into,the,house,and,we,said,.,.,.,.,.
now,dash,your,-e,going,to,have,you,-r,birthday,treat,.,.,.,.,.,.
we,expect,dash,would,jump,for,joy,.,.,.,.,.,.,.,.,.,.
but,it,did,-nt,one,bit,.,.,.,.,.,.,.,.,.,.,.
so,we,put,the,saucer,down,before,it,and,we,said,.,.,.,.,.,.
now,dash,dont,be,greedy,.,.,.,.,.,.,.,.,.,.,.,.
eat,it,nice,-ly,like,a,good,dog,.,.,.,.,.,.,.,.,.
so,dash,just,tasted,it,with,the,tip,of,its,tongue,.,.,.,.,.,.
and,then,it,mad,-e,oh,such,a,horrid,face,.,.,.,.,.,.,.
and,then,do,you,know,it,did,hate,it,so,.,.,.,.,.,.,.
it,would,-nt,eat,a,bit,more,of,it,.,.,.,.,.,.,.,.
so,we,had,to,put,it,all,down,its,throat,with,a,spoon,.,.,.,.
i,wonder,if,alice,will,give,this,little,puppy,some,porridge,.,.,.,.,.,.
i,dont,think,she,can,because,she,has,-nt,got,any,with,her,.,.,.,.
i,cant,see,any,saucer,in,the,picture,.,.,.,.,.,.,.,.,.
would,you,like,to,know,what,happen,-ed,to,alice,.,.,.,.,.,.,.
after,she,had,got,a-,way,from,the,puppy,.,.,.,.,.,.,.,.
it,was,far,too,large,an,animal,for,her,to,play,with,.,.,.,.,.
i,dont,suppose,you,would,much,enjoy,play,-ing,with,a,young,hippopotamus,would,you,.,.
you,would,always,be,expect,-ing,to,be,crushed,.,.,.,.,.,.,.,.
as,flat,as,a,pancake,under,its,great,heavy,feet,.,.,.,.,.,.,.
so,alice,was,very,glad,to,run,a-,way,while,it,was,-nt,look,-ing,.,.
well,she,wandered,up,and,down,.,.,.,.,.,.,.,.,.,.,.
and,she,did,-nt,know,what,in,the,world,to,do,.,.,.,.,.,.
to,make,herself,grow,up,to,her,right,size,again,.,.,.,.,.,.,.
of,course,she,knew,that,she,had,to,eat,or,drink,some,thing,.,.,.,.
that,was,the,regular,rule,you,know,.,.,.,.,.,.,.,.,.,.
but,she,could,-nt,guess,what,thing,.,.,.,.,.,.,.,.,.,.
how,ever,she,soon,came,to,a,great,mushroom,.,.,.,.,.,.,.,.
and,what,do,you,think,she,saw,.,.,.,.,.,.,.,.,.,.
some,thing,that,im,sure,you,never,talk,-ed,to,in,all,you,-r,life,.,.
it,was,a,large,blue,caterpillar,.,.,.,.,.,.,.,.,.,.,.
ill,tell,you,soon,what,alice,and,the,caterpillar,talk,-ed,about,.,.,.,.,.
but,first,let,us,have,a,good,look,at,the,picture,.,.,.,.,.,.
that,curious,thing,standing,in,front,of,the,caterpillar,is,call,-ed,a,hookah,.,.,.
and,its,use,-d,for,smoking,.,.,.,.,.,.,.,.,.,.,.
the,smoke,come,-s,through,that,long,tube,that,wind,-s,round,and,round,like,a,serpent
and,do,you,see,its,long,nose,and,chin,.,.,.,.,.,.,.,.
at,least,they,look,exactly,like,a,nose,and,chin,dont,they,.,.,.,.,.
but,they,real,-ly,are,two,of,its,leg,-s,.,.,.,.,.,.,.
you,know,a,caterpillar,has,got,quantities,of,leg,-s,.,.,.,.,.,.,.
you,can,see,some,more,of,them,further,down,.,.,.,.,.,.,.,.
what,a,both,-er,it,must,be,to,a,caterpillar,.,.,.,.,.,.,.
counting,over,such,a,lot,of,leg,-s,every,night,.,.,.,.,.,.,.
to,make,sure,it,has,-nt,lost,any,of,them,.,.,.,.,.,.,.
and,another,great,both,-er,must,be,having,to,settle,which,leg,it,had,better,move,first
i,think,if,you,had,forty,or,fifty,leg,-s,.,.,.,.,.,.,.
and,if,you,want,-ed,to,go,a,walk,.,.,.,.,.,.,.,.
you,-d,be,such,a,time,in,settling,which,leg,to,begin,with,.,.,.,.
